"Abstract","Application","Comparison","Complement","Country","DOI/PMID/Link","First Author","ID","Journal","Last Author","Model","Other Authors","Primary Topic","Publish Year","Rank","Secondary Topic","Tertiary Topic","Title","Vehicle","pH"
"To investigate the role of FOXO3a in process of hydrogen-rich saline attenuating global cerebral ischemia-reperfusion (I/R) injury in rats. Seventy-two male Sprague Dawley rats, weighing 280-320 g, were randomly divided into six groups (n = 12 each) : sham operation group (group I), cerebral ischemia-reperfusion group (group II), hydrogen-rich saline group (group III), vehicle group (group IV), JNK inhibitor SP600125 group (group V), JNK inhibitor+hydrogen-rich saline group (group VI). Global cerebral I/R was produced by transesophageal pacing inducing cardiac arrest (CA) method. Cardiopulmonary resuscitation (CPR) and mechanical ventilation was implemented at the end of 4 min for CA. In groups III and VI, hydrogen-rich saline 5 ml/kg was intraperitoneally immediately and 6 hours after reperfusion, while equel volume of nomal saline was injected in the other four groups. The rats in groups V and VI received intracerebroventricular injection of JNK inhibitor SP600125 10 µl 30 min before ischemia, while group IV received intracerebroventricular injection of equal volume of DMSO. Neuro Deficit Score (NDS) was evaluated at 24 h of reperfusion. Then rats were sacrificed, and the global brain tissues were obtained and stained with HE for examination of the changes in pyramidal cells in the CA1 region of hippocampus. The bilateral hippocampi were romoved for detection of the expression of p-JNK, JNK and FOXO3a using Western Blotting. Compared with group I, the expression of p-JNK, nuclear FOXO3a and the level of NDS were significantly up-regulated, and the number of pyramidal cells and was decreased in group II and IV. Compared with group II, the expression of p-JNK, nuclear FOXO3a and the level of NDS were significantly down-regulated, and the number of pyramidal cells was increased in group III, V and VI. Hydrogen-rich saline can attenuate global cerebral I/R injure through inhibiting JNK, reducing the expression of FOXO3a.","Injection","","","China","10.3760/cma.j.issn.0376-2491.2015.06.014","Zhao, Lin","621","National Medical Journal of China","Xu, Jianguo","Rat","Chen, Xingdongl Dai, Qiongyan; Zhang, Lu; Yu, Pan; Gao, Yu; Wu, Lin; Duan, Manlin","Brain","2015","Positive","Stroke","Ischemia-Reperfusion (I/R) Injury","Role of FOXO3A in process of hydrogen-rich saline attenuating global cerebral ischemia-reperfusion injury in rats","Saline (Dissolved)","Neutral"
"Background Cigarette smoke (CS) exposure impaired plasma lipid profiles by modification of apolipoproteins. Hydrogen (H2) has been proved effective on reducing oxidative stress or improving HDL functionalities in animal models or metabolic syndrome volunteers. This study was undertaken to explore the effects of CS exposure on reverse cholesterol transport (RCT) and the antioxidative effects of H2 treatment against CS exposure in mice transgenic for human cholesteryl ester transfer protein (CETP). Methods [3H]-cholesterol-laden macrophages were injected intraperitoneally into mice, and the samples of blood, bile, liver, and feces were collected for radioactivity determination to evaluate RCT. [3H]-cholesterol-laden macrophages were incubated with HDL isolated from different groups of mice, and the samples of cell medium supernatants were collected for evaluating the HDL functionality to elicit cholesterol efflux. Results CS exposure significantly decreased plasma HDL cholesterol level (HDL-C) by 22 % and increased LDL cholesterol level (LDL-C) by 21 % compared with the control group (p < 0.05, p < 0.01), while H2 treatment significantly improved the CS-impaired levels of TC, LDL-C and HDL-C by 10, 27 and 31 %, respectively, compared with the CS group (p < 0.05, p < 0.01 and p < 0.05). Besides, CS exposure significantly decreased [3H] tracer concentrations in liver, bile and feces by 17, 35 and 48 %, respectively, compared with the control group (p < 0.05 for liver and feces), while H2 treatment significantly improved them by 21, 72 % and 89 %, respectively, compared with the CS group (all p < 0.05). Furthermore, CS exposure significantly decreased the HDL functionality to elicit cholesterol efflux by 26 % (p < 0.05), while H2 treatment also improved it by 32 % (p < 0.05). We did not find any significant alterations in protein expressions of RCT involved genes. Conclusions These findings provided direct evidence supporting the notion that CS exposure in vivo impairs plasma lipid profiles, HDL functionalities and macrophage-to-feces RCT pathway in CETP transgenic mice, all of which can be minimized by treatment of H2-saturated saline.","Injection","","","China","10.1186/s12944-015-0160-9","Zong, Chuanlong","622","Lipids in Health and Disease","Qin, Shu-Cun","Mouse","Song, Guohua; Yao, Shutong; Guo, Shoudong; Yu, Yang; Yang, Nana; Guo, Zheng","Whole Body","2015","Positive","Environmental Pollution","Cigarette Smoke Exposure","Cigarette smoke exposure impairs reverse cholesterol transport which can be minimized by treatment of hydrogen-saturated saline","Saline (Dissolved)","Neutral"
"The purpose of the current study was to evaluate hydrogen-saturated saline protecting intensive narrow band noise-induced hearing loss. Guinea pigs were divided into three groups: hydrogen-saturated saline; normal saline; and control. For saline administration, the guinea pigs were given daily abdominal injections (1 ml/100 g) 3 days before and 1 h before narrow band noise exposure (2.5-3.5 kHz 130 dB SPL, 1 h). The guinea pigs in the control group received no treatment. The hearing function was assessed by the auditory brainstem response (ABR) and distortion product otoacoustic emission (DPOAE) recording. The changes of free radicals in the cochlea before noise exposure, and immediately and 7 days after noise exposure were also examined. By Scanning electron microscopy and succinate dehydrogenase staining, we found that pre-treatment with hydrogen-saturated saline significantly reduced noise-induced hair cell damage and hearing loss. We also found that the malondialdehyde, lipid peroxidation, and hydroxyl levels were significantly lower in the hydrogen-saturated saline group after noise trauma, indicating that hydrogen-saturated saline can decrease the amount of harmful free radicals caused by noise trauma. Our findings suggest that hydrogen-saturated saline is effective in preventing intensive narrow band noise-induced hearing loss through the antioxidant effect.","Injection","","","China","10.1371/journal.pone.0100774","Chen, Liwei","623","PLoS One","Zhai, Suoqiang","Guinea Pig","Yu, Ning; Lu, Yan; Wu, Longjun; Chen, Daishi; Guo, Weiwei; Zhao, Lidong; Liu, Mingbo; Yang, Shiming; Sun, Xuejun","Ear","2014","Positive","Hearing Loss","Noise Pollution","Hydrogen-Saturated Saline Protects Intensive Narrow Band Noise-Induced Hearing Loss in Guinea Pigs through an Antioxidant Effect","Saline (Dissolved)","Neutral"
"Background: Hydrogen, a popular antioxidant gas, can selectively reduce cytotoxic oxygen radicals and has been found to protect against ischemia–reperfusion (I/R) injury of multiple organs. Acute neuronal death during I/R has been attributed to loss of mitochondrial permeability transition coupled with mitochondrial dysfunction. This study was designed to investigate the potential therapeutic effect of hydrogen-rich saline on neuronal mitochondrial injury from global cerebral I/R in rats. Materials and methods: We used a four-vessel occlusion model of global cerebral ischemia and reperfusion, with Sprague–Dawley rats. The rats were divided randomly into six groups (n = 90): sham (group S), I/R (group I/R), normal saline (group NS), atractyloside (group A), hydrogen-rich saline (group H), and hydrogen-rich saline + atractyloside (group HA). In groups H and HA, intraperitoneal hydrogen-rich saline (5 mL/kg) was injected immediately after reperfusion, whereas the equal volume of NS was injected in the other four groups. In groups A and HA, atractyloside (15 μL) was intracerebroventricularly injected 10 min before reperfusion, whereas groups NS and H received equal NS. The mitochondrial permeability transition pore opening and mitochondrial membrane potential were measured by spectrophotometry. Cytochrome c protein expression in the mitochondria and cytoplasm was detected by western blot. The hippocampus mitochondria ultrastructure was examined with transmission electron microscope. The histologic damage in hippocampus was assessed by hematoxylin and eosin staining. Results: Hydrogen-rich saline treatment significantly improved the amount of surviving cells (P < 0.05). Furthermore, hydrogen-rich saline not only reduced tissue damage, the degree of mitochondrial swelling, and the loss of mitochondrial membrane potential but also preserved the mitochondrial cytochrome c content (P < 0.05). Conclusions: Our study showed that hydrogen-rich saline was able to attenuate neuronal I/R injury, probably by protecting mitochondrial function in rats.","Injection","","","China","10.1016/j.jss.2014.05.060","Cui, Yaomei","624","Journal of Surgical Research","Duan, Manlin","Rat","Zhang, Hao; Ji, Muhuo; Jia, Min; Chen, Huixian; Yang, Jianjun","Brain","2014","Positive","Brain Injury","Ischemia-Reperfusion (I/R) Injury","Hydrogen-rich saline attenuates neuronal ischemia - Reperfusion injury by protecting mitochondrial function in rats","Saline (Dissolved)","Neutral"
"Traumatic brain injury (TBI) in its various forms has emerged as a major problem for modern society. Acute TBI can transform into a chronic condition and be a risk factor for neurodegenerative diseases such as Alzheimer's and Parkinson's diseases, probably through induction of oxidative stress and neuroinflammation. Here, we examined the ability of the antioxidant molecular hydrogen given in drinking water (molecular hydrogen water; mHW) to alter the acute changes induced by controlled cortical impact (CCI), a commonly used experimental model of TBI. We found that mHW reversed CCI-induced edema by about half, completely blocked pathological tau expression, accentuated an early increase seen in several cytokines but attenuated that increase by day 7, reversed changes seen in the protein levels of aquaporin-4, HIF-1, MMP-2, and MMP-9, but not for amyloid beta peptide 1-40 or 1-42. Treatment with mHW also reversed the increase seen 4 h after CCI in gene expression related to oxidation/carbohydrate metabolism, cytokine release, leukocyte or cell migration, cytokine transport, ATP and nucleotide binding. Finally, we found that mHW preserved or increased ATP levels and propose a new mechanism for mHW, that of ATP production through the Jagendorf reaction. These results show that molecular hydrogen given in drinking water reverses many of the sequelae of CCI and suggests that it could be an easily administered, highly effective treatment for TBI.","Ingestion","","","United States","10.1371/journal.pone.0108034","Dohi, Kenji","625","PLoS One","Banks, William A.","Mouse","Kraemer, Brian C.; Erickson, Michelle A.; McMillan, Pamela J.; Kovac, Andrej; Flachbartova, Zuzana; Hansen, Kim M.; Shah, Gul N.; Sheibani, Nader; Salameh, Therese","Brain","2014","Positive","Traumatic Brain Injury","Edema","Molecular hydrogen in drinking water protects against neurodegenerative changes induced by traumatic brain injury","Water (Dissolved)","Neutral"
"Background Hydrogen-rich saline provides a high concentration of hydrogen which selectively reduces levels of hydroxyl radicals and alleviates acute oxidative stress in many models. We investigated the protective effects and mechanisms of three different hydrogen-rich liquid resuscitation preparations on lung injury-induced uncontrolled hemorrhagic shock (UHS) in rats. Materials and methods A UHS rat model was prepared using the method of Capone et al. of arterial bleeding and tail amputation. Healthy male Wistar rats were randomly divided into 7 groups (10/group) to receive: Sham treatment; Ringer’s solution; hydrogen-rich Ringer’s solution (H-Ringer’s solution); hydroxyethyl starch (HES); hydrogen-rich hydroxyethyl starch (H-HES); hypertonic saline/hydroxyethyl starch (HSH); and hydrogen-rich hypertonic saline/hydroxyethyl starch (H-HSH). At 72 hours after successful resuscitation, lung tissue was HE stained to score any pathological changes. We also determined wet-to-dry (W/D) lung weight ratios and lung tissue concentrations of interleukin-6 (IL-6), tumor necrosis factor -α (TNF-α), interleukin -10 (IL-10), and malondialdehyde (MDA), and superoxide dismutase (SOD) and myeloperoxidase (MPO) activities. Results Compared with the Non-H groups, polymorphonuclear neutrophil (PMN) accumulation in alveoli in the H groups was significantly reduced (P value), and capillary leakage and wall edema were ameliorated. Compared with the Sham group, pathologic pulmonary injury scores, W/D ratios, IL-6, TNF-α, IL-10, and MDA concentrations, and MPO activity in the other groups were all increased, whereas SOD activity was decreased (P<0.01). Comparing the H-Ringer’s, H-HES, and H-HSH groups respectively with the Ringer’s, HES, and HSH groups, pathologic pulmonary injury scores, W/D ratios, IL-6, TNF-α, and MDA concentrations, and MPO activity were all reduced, whereas IL-10 concentrations and SOD activity were increased (P<0.01). Conclusions Each hydrogen-rich liquid resuscitation preparation could protect the lung against acute injury secondary to UHS. These mechanisms may be associated with hydrogen inhibiting the release of pro-inflammatory cytokines, promoting anti-inflammatory cytokine release, and reducing oxidative damage.","Injection","","","China","10.1016/j.jss.2014.06.051","Du, Zunmin","626","Journal of Surgical Research","Xu, Wei","Rat","Jia, Haipeng; Liu, Jing; Zhao, Xiaomin","Lung","2014","Positive","Shock","Hemorrhagic Shock","Effects of three hydrogen-rich liquids on hemorrhagic shock in rats","Saline (Dissolved)","Neutral"
"Hydrogen is considered to be a novel antioxidant as it inhibits inflammation, removes oxygen-derived free radicals and reduces oxidative damage. This study investigated the effects of hydrogen-rich saline on plasma interleukin-6 (IL-6), tumor necrosis factor-α (TNF-α), superoxide dismutase (SOD) and malondialdehyde (MDA) in rats with uncontrolled hemorrhagic shock (UHS). The UHS model was induced by arterial bleeding and tail amputation. The rats were randomly divided into: Group A (sham-operated group), Group B [shock + intravenously (IV) injected saline], Group C (shock + IV-injected hydrogen-rich saline), Group D [shock + intraperitoneally (IP) injected saline] and Group E (shock + IP-injected hydrogen-rich saline). The survival rate 24 h after successful resuscitation was calculated. The mean arterial pressure and heart rate were recorded at 0, 30, 90 and 210 min. The plasma levels of IL-6, TNF-α, SOD and MDA were measured at 0, 90 and 210 min. The survival rate of each group was 100% and the hemodynamics among the experimental groups were not significantly different. At 90 and 210 min, the levels of IL-6, TNF-α and MDA in Groups C and E were lower than those of Groups B and D, while the SOD levels were higher than those of Groups B and D (P<0.01). At 90 min, the levels of IL-6, TNF-α and MDA in Groups B and C were lower than those of Groups D and E, respectively (P<0.01). Hydrogen-rich saline has anti-inflammatory and anti-oxidative effects in UHS. In conclusion, the results showed that itravenous injection of hydrogen-rich saline is more effective than intraperitonal injection.","Injection","","","China","10.3892/etm.2014.1572","Du, Zunmin","627","Experimental and Therapeutic Medicine","Sun, Xue-Jun","Rat","Jia, Haipeng; Liu, Jing; Zhao, Xiaomin; Wang, Yun","Whole Body","2014","Positive","Shock","Hemorrhagic Shock","Protective effects of hydrogen-rich saline in uncontrolled hemorrhagic shock","Saline (Dissolved)","Neutral"
"Background Reactive oxygen and nitrogen species are key molecules that mediate neuropathic pain. Although hydrogen is an established antioxidant, its effect on chronic pain has not been characterized. This study was to investigate the efficacy and mechanisms of hydrogen-rich normal saline induced analgesia. Methodology/Principal findings In a rat model of neuropathic pain induced by L5 spinal nerve ligation (L5 SNL), intrathecal injection of hydrogen-rich normal saline relieved L5 SNL-induced mechanical allodynia and thermal hyperalgesia. Importantly, repeated administration of hydrogen-rich normal saline did not lead to tolerance. Preemptive treatment with hydrogen-rich normal saline prevented development of neuropathic pain behavior. Immunofluorochrome analysis revealed that hydrogen-rich normal saline treatment significantly attenuated L5 SNL-induced increase of 8-hydroxyguanosine immunoreactive cells in the ipsilateral spinal dorsal horn. Western blot analysis of SDS/PAGE-fractionated tyrosine-nitrated proteins showed that L5 SNL led to increased expression of tyrosine-nitrated Mn-containing superoxide dismutase (MnSOD) in the spinal cord, and hydrogen-rich normal saline administration reversed the tyrosine-nitrated MnSOD overexpression. We also showed that the analgesic effect of hydrogen-rich normal saline was associated with decreased activation of astrocytes and microglia, attenuated expression of interleukin-1β (IL-1β) and tumor necrosis factor-α (TNF-α) in the spinal cord. Conclusion/Significance Intrathecal injection of hydrogen-rich normal saline produced analgesic effect in neuropathic rat. Hydrogen-rich normal saline-induced analgesia in neuropathic rats is mediated by reducing the activation of spinal astrocytes and microglia, which is induced by overproduction of hydroxyl and peroxynitrite.","Injection","","","China","10.1371/journal.pone.0097436","Ge, Yanhu","628","PLoS One","Yu, Wei-Feng","Rat","Wu, Feixiang; Sun, Xuejun; Xiang, Zhenghua; Yang, Liqun; Huang, Shengdong; Lu, Zhijie; Sun, Yuming","Brain","2014","Positive","Neuropathic Pain","Oxidative Stress","Intrathecal Infusion of Hydrogen-Rich Normal Saline Attenuates Neuropathic Pain via Inhibition of Activation of Spinal Astrocytes and Microglia in Rats","Saline (Dissolved)","Neutral"
"Abstract Defensins, a major family of cationic antimicrobial peptides, play important roles in innate immunity. In the present study, we investigated whether double-stranded RNA (dsRNA), a by-product of RNA virus replication, can induce human β-defensins-2 (hBD-2) expression in oral epithelial cells (OECs). We also examined the hBD-2-inducible activity of acid-electrolyzed functional water (FW). The results indicated that both dsRNA- and FW-induced hBD-2 expression in OECs. The induction efficiency was much higher for FW than for dsRNA. FW-induced production of hBD-2 was clearly observed by immunofluorescence staining. A luciferase assay was performed with 1.2 kb of the 5'-untranslated region (5'-UTR) of the hBD-2 gene. The results indicated that the nuclear factor-kappa B (NF-κB)-binding site proximal to the translation initiation site was indispensable for dsRNA-stimulated hBD-2 expression, but not in the case of FW. Moreover, FW-stimulated hBD-2 expression did not depend on NF-κB activity; instead, FW inhibited NF-κB activity. Pretreatment of the cells with specific inhibitors against NF-κB further confirmed NF-κB-independent hBD-2 induction by FW. In analogy to the results for intestinal epithelial cells (IECs), the dsRNA signal, but not FW, was sensed by toll-like receptor 3 (TLR3) in OECs. These results suggested that hBD-2 expression induced by dsRNA and FW is regulated by distinct mechanisms in OECs.","Culture Media","","","Japan","10.3109/10799893.2013.862272","Gojoubori, Takahiro","629","Journal of Receptors and Signal Transduction","Ito, Koichi","Cell Culture","Nishio, Yukina; Asano, Masatake; Nishida, Tetsuya; Komiyama, Kazuo","Mouth","2014","Positive","Wound Healing","Oxidative Stress","Distinct signaling pathways leading to the induction of human β-defensin 2 by stimulating an electrolyticaly-generated acid functional water and double strand RNA in oral epithelial cells","Water, Commercial (Miura Denshi)","Acidic"
"Objective To investigate the protective effects and mechanism of Hydrogen-rich saline against γ irradiation-induced injury in HK-2 cells. Methods HK-2 cells were separated into 4 groups: the contral group, the Hydrogen-treated group, the irradiated group, the irradiated Hydrogen-treated group. The Hydrogen-treated group and the irradiated Hydrogen-treated group were pretreated with Hydrogen-rich solution 10minutes before γ-irradiation of both the irradiated group and the irradiated Hydrogen-treated group at the dose of 6Gy. The apoptosis rates of the HK-2 cells were observed by Flow Cytometry24 hours after irradiation while the survival were examined through the clonogenic assay every 24 hours until the 10th day The malondialdehyde (MDA) and the Hydroxyl radicals(• OH) were examined immediately after γ-ray irradiation. Results Hydrogen-rich salineincreased the survival of HK-2 cells at the 10th day after irradiation of 6Gy (P <0.05), and the apoptosis rates of the HK-2 cells significantly decreased (P<0.01); Hydrogen-rich salinereduced MDA level (P <0.05)as well as • OH level in HK-2 cells. Conclusion Hydrogen-rich saline exert protective effect against γ-irradiation-induced injury in HK-2 cells. © 2014, Second Military Medical University Press. All rights reserved.","Culture Media","","","China","10.3724/SP.J.1008.2014.00963","Guo, Jia-Ming","631","Academic Journal of Second Military Medical University","Li, B.L.","Cell Culture","Yang, Yan-Yong; Liu, Wen; Gao, Fu; Cai, Jian-Ming; Zhao, Hua-Lin","Kidney","2014","Positive","Radioprotection","Gamma Radiation","Protective effects of hydrogen-rich saline against γ-ray irradiation injury in HK-2 cells","Saline (Dissolved)","Neutral"
"Background: We have previously shown that hydrogen (H2) inhalation, begun at the start of hyperoxic cardiopulmonary resuscitation, significantly improves brain and cardiac function in a rat model of cardiac arrest. Here, we examine the effectiveness of this therapeutic approach when H2 inhalation is begun on the return of spontaneous circulation (ROSC) under normoxic conditions, either alone or in combination with targeted temperature management (TTM). Methods and results: Rats were subjected to 6 minutes of ventricular fibrillation cardiac arrest followed by cardiopulmonary resuscitation. Five minutes after achieving ROSC, post-cardiac arrest rats were randomized into 4 groups: mechanically ventilated with 26% O2 and normothermia (control); mechanically ventilated with 26% O2, 1.3% H2, and normothermia (H2); mechanically ventilated with 26% O2 and TTM (TTM); and mechanically ventilated with 26% O2, 1.3% H2, and TTM (TTM+H2). Animal survival rate at 7 days after ROSC was 38.4% in the control group, 71.4% in the H2 and TTM groups, and 85.7% in the TTM+H2 group. Combined therapy of TTM and H2 inhalation was superior to TTM alone in terms of neurological deficit scores at 24, 48, and 72 hours after ROSC, and motor activity at 7 days after ROSC. Neuronal degeneration and microglial activation in a vulnerable brain region was suppressed by both TTM alone and H2 inhalation alone, with the combined therapy of TTM and H2 inhalation being most effective. Conclusions: H2 inhalation was beneficial when begun after ROSC, even when delivered in the absence of hyperoxia. Combined TTM and H2 inhalation was more effective than TTM alone.","Inhalation","","","Japan","10.1161/CIRCULATIONAHA.114.011848","Hayashida, Kei","632","Circulation","Hori, Shingo","Rat","Sano, Motoaki; Kamimura, Naomi; Yokota, Takashi; Suzuki, Masaru; Ohta, Shigeo, Fukuda, Keiichi","Brain","2014","Positive","Cardiopulmonary Resuscitation (CPR)","Hypoxia-Ischemia","Hydrogen Inhalation During Normoxic Resuscitation Improves Neurological Outcome in a Rat Model of Cardiac Arrest Independently of Targeted Temperature Management","Gas","N/A"
"Backgrounds: Early brain injury (EBI) plays a key role in the pathogenesis of subarachnoid hemorrhage (SAH). Neuronal apoptosis is involved in the pathological process of EBI. Hydrogen can inhibit neuronal apoptosis and attenuate EBI following SAH. However, the molecular mechanism underlying hydrogen-mediated anti-apoptotic effects in SAH has not been elucidated. In the present study, we aimed to evaluate whether hydrogen alleviates EBI after SAH, specifically neuronal apoptosis, partially via the Akt/GSK3β signaling pathway. Methods: Sprague-Dawley rats (n = 85) were randomly divided into the following groups: sham group (n = 17), SAH group (n = 17), SAH + saline group (n = 17), SAH + hydrogen-rich saline (HS) group (n = 17) and SAH + HS + Ly294002 (n = 17) group. HS or an equal volume of physiological saline was administered immediately after surgery and repeated 8 hours later. The PI3K inhibitor, Ly294002, was applied to manipulate the proposed pathway. Neurological score and SAH grade were assessed at 24 hours after SAH. Western blot was used for the quantification of Akt, pAkt, GSK3β, pGSK3β, Bcl-2, Bax and cleaved caspase-3 proteins. Neuronal apoptosis was identified by double staining of terminal deoxynucleotidyl transferase mediated nick end labeling (TUNEL) staining and NeuN, and quantified by apoptosis index. Immunohistochemistry and immunofluorescent double-labeling staining was performed to clarify the relationships between neuronal apoptosis and pAkt or pGSK3β. Results: HS significantly reduced neuronal apoptosis and improved neurological function at 24 hours after SAH. The levels of pAkt and pGSK3β, mainly expressed in neurons, were markedly up-regulated. Additionally, Bcl-2 was significantly increased while Bax and cleaved caspase-3 was decreased by HS treatment. Double staining of pAkt and TUNEL showed few colocalization of pAkt-positive cells and TUNEL-positive cells. The inhibitor of PI3K, Ly294002, suppressed the beneficial effects of HS. Conclusions: HS could attenuate neuronal apoptosis in EBI and improve the neurofunctional outcome after SAH, partially via the Akt/GSK3β pathway.","Injection","","","China","10.1371/journal.pone.0096212","Hong, Yuan","633","PLoS One","Zhang, JianMin","Rat","Shao, AnWen; Wang, Jianfeng; Chen, Sheng; Wu, HaiJian; McBride, Devin W.; Wu, Qun; Sun, XueJun","Brain","2014","Positive","Brain Injury","Intracranial Hemorrhage","Neuroprotective Effect of Hydrogen-Rich Saline against Neurologic Damage and Apoptosis in Early Brain Injury following Subarachnoid Hemorrhage: Possible Role of the Akt/GSK3β Signaling Pathway","Saline (Dissolved)","Neutral"
"The aim of this study was to demonstrate the safety and efficacy of H2-saline infusion for treatment of rheumatoid arthritis (RA). We conducted a randomized, double-blind, placebo-controlled investigation of the infusion of 1 ppm H2-dissolved saline (H2-saline) in 24 RA patients. Patients were randomized 1:1 to receive 500 ml of either H2-saline or placebo-saline, which was drop infused intravenously (DIV) daily for 5 days. The disease activity score in 28 joints (DAS28) was measured at baseline, immediately post infusion, and after 4 weeks. Therapeutic effects of H2-saline on joint inflammation were estimated by measuring serum biomarkers for RA, tumor necrosis factor-α (TNFα), interleukin-6 (IL-6), matrix metalloproteinase-3 (MMP-3), and urinary 8-hydroxydeoxyguanosine (8-OHdG). In the H2-infused group, average DAS28 decreased from 5.18 ± 1.16 to 4.02 ± 1.25 immediately post infusion and reached 3.74 ± 1.22 after 4 weeks. No significant decrease in DAS28 was observed in the placebo group throughout the study. IL-6 levels in the H2 group significantly decreased in 4 weeks by 37.3 ± 62.0% compared to baseline, whereas it increased by 33.6 ± 34.4% in the placebo group. TNFα levels did not change remarkably in the H2 or placebo groups in 4 weeks post-infusion compared to baseline. The relative ratio of 8-OHdG in the H2 group also significantly decreased by 4.7%. After 4 weeks, MMP3 was significantly reduced by 19.2% ± 24.6% in the H2 group, and increased by 16.9% ± 50.2% in the placebo group. Drop infusion of H2 safely and effectively reduced RA disease activity.","Injection","","","Japan","10.1016/j.intimp.2014.06.001","Ishibashi, Toru","636","International Immunopharmacology","Nagao, Tetsuhiko","Human","Sato, Bunpei; Shibata, Shinji; Sakai, Takaaki; Hara, Yuichi; Naritomi, Yuji; Koyanagi, Samon; Hara, Hiroshi","Bone","2014","Positive","Rheumatoid Arthritis (RA)","Oxidative Stress","Therapeutic efficacy of infused molecular hydrogen in saline on rheumatoid arthritis: a randomized, double-blind, placebo-controlled pilot study","Saline (Dissolved)","Neutral"
"Electrolyzed acid water (EAW) has been recognized to have strong bactericidal activity, and the feasibility and safety of EAW irrigation in body cavities has been reported in the literature. This study was conducted to evaluate the effect of EAW nasal irrigation on the postoperative care of functional endoscopic sinus surgery (FESS). Patients with chronic rhinosinusitis who received FESS for treatment were recruited and randomly assigned to three groups at 1 month postoperatively. Patients in group 1 received EAW for nasal irrigation daily for 2 months, those in group 2 received neutral normal saline (NS) daily for 2 months, and those in group 3 did not receive nasal irrigation after surgery. Before and 3 months after FESS, sinonasal symptoms were assessed by questionnaire and patients received endoscopic examination, acoustic rhinometry, smell test, saccharine transit test, and bacterial culture from middle meatus. There were 185 patients enrolled between May 2009 and March 2012. Among the patients who completed the study, 36 received EWA irrigation, 35 received NS irrigation, and 39 (group 3) received no irrigation. Patients with nasal irrigation had a better outcome based on questionnaire score and saccharine transit time. However, there was no difference in outcome between patients who received irrigation with EAW and NS. Our study showed that EWA irrigation did not confer a greater benefit than that of NS irrigation in post-FESS care.","Irrigation","","","Taiwan","10.2500/ajra.2014.28.4015","Jiang, Rong-San","637","American Journal of Rhinology","Lu, Fung-Jou","Human","Liang, Kai-Li; Wu, Shang-Heng; Su, Mao-Chang; Chen, Wen-Kang","Nose","2014","Positive","Rhinosinusitis","Pathogenic Bacterial Load","Electrolyzed acid water nasal irrigation after functional endoscopic sinus surgery","Water (Electrolysis)","Acidic"
"Aging-related neurodegenerative disorders are closely associated with mitochondrial dysfunction and oxidative stresses and their incidence tends to increase with aging. Brain is the most vulnerable to reactive species generated by a higher rate of oxygen consumption and glucose utilization compared to other organs. Electrochemically reduced water (ERW) was demonstrated to scavenge reactive oxygen species (ROS) in several cell types. In the present study, the protective effect of ERW against hydrogen peroxide (H2O2) and nitric oxide (NO) was investigated in several rodent neuronal cell lines and primary cells. ERW was found to significantly suppress H2O2 (50-200 μM) induced PC12 and SFME cell deaths. ERW scavenged intracellular ROS and exhibited a protective effect against neuronal network damage caused by 200 μM H2O2 in N1E-115 cells. ERW significantly suppressed NO-induced cytotoxicity in PC12 cells despite the fact that it did not have the ability to scavenge intracellular NO. ERW significantly suppressed both glutamate induced Ca(2+) influx and the resulting cytotoxicity in primary cells. These results collectively demonstrated for the first time that ERW protects several types of neuronal cells by scavenging ROS because of the presence of hydrogen and platinum nanoparticles dissolved in ERW.","Culture Media","","","Japan","10.1155/2014/869121","Kashiwagi, Taichi","638","Oxidative Medicine and Cellular Longevity","Shirahata, Sanetaka","Cell Culture","Yan, Hanxu; Hamasaki, Takeki; Kinjo, Tomoya; Nakamichi, Noboru; Teruya, Kiichiro; Kabayama, Shigeru","Brain","2014","Positive","Aging","Excitotoxicity","Electrochemically reduced water protects neural cells from oxidative damage","Water (Electrolysis)","Alkaline"
